timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-09 07:54:46+00:00,2425.0115386964,-2099.5400543594,-6028.6754980504,3.5580671432,-5.8016189629,3.4562679117,-0.052843653,-0.236093383,-0.459409497,0.8546404955
2026-08-09 07:54:56+00:00,2460.440405485,-2157.4243342522,-5993.7365819826,3.5276165648,-5.7750852952,3.5314171271,-0.055431965,-0.240918878,-0.4591014015,0.8532943775
2026-08-09 07:55:06+00:00,2495.5625419405,-2215.039653982,-5958.0483478543,3.4967236937,-5.7478294737,3.6061309982,-0.057986187,-0.2456187595,-0.4587934945,0.8519492685
2026-08-09 07:55:16+00:00,2530.3735581006,-2272.3788212828,-5921.6151851865,3.4653922762,-5.7198547429,3.6804002026,-0.060541395,-0.2503950295,-0.458453776,0.8505628745
2026-08-09 07:55:26+00:00,2564.8690831294,-2329.4346616706,-5884.4415899284,3.4336261169,-5.6911644479,3.7542154407,-0.0631141765,-0.255141923,-0.458109607,0.8491494495
2026-08-09 07:55:36+00:00,2599.0447790743,-2386.2000257202,-5846.532156572,3.4014290793,-5.6617620263,3.8275674522,-0.065685819,-0.2599034865,-0.457749581,0.8477032925
2026-08-09 07:55:46+00:00,2632.8963708438,-2442.6678225113,-5807.891552042,3.3688050743,-5.6316509891,3.9004470675,-0.06822016,-0.2646214255,-0.4573675565,0.846248444
2026-08-09 07:55:56+00:00,2666.4196042064,-2498.8309819243,-5768.5245489487,3.3357580701,-5.6008349479,3.9728451433,-0.0707907785,-0.2693686985,-0.456966288,0.844754983
2026-08-09 07:56:06+00:00,2699.6102595798,-2554.6824616621,-5728.4360172136,3.3022920937,-5.5693176061,4.0447525792,-0.073329001,-0.274062177,-0.4565827175,0.8432348445
2026-08-09 07:56:16+00:00,2732.4641816225,-2610.2152801099,-5687.6308964263,3.2684112166,-5.5371027386,4.1161603686,-0.0759009035,-0.278788594,-0.4561490145,0.841691184
2026-08-09 07:56:26+00:00,2764.9772375744,-2665.4224794624,-5646.1142310118,3.2341195678,-5.5041942207,4.1870595349,-0.0784277505,-0.283460363,-0.4557237535,0.8401280685
2026-08-09 07:56:36+00:00,2797.1453310622,-2720.2971324834,-5603.8911613686,3.1994213335,-5.4705960187,4.2574411481,-0.081005146,-0.2881986375,-0.455262744,0.838519854
2026-08-09 07:56:46+00:00,2828.9644312665,-2774.8323747396,-5560.9668947032,3.1643207427,-5.4363121689,4.3272963748,-0.083522639,-0.2928418615,-0.4548207445,0.8369024455
2026-08-09 07:56:56+00:00,2860.4305327759,-2829.0213705355,-5517.3467405252,3.1288220797,-5.4013468057,4.3966164181,-0.0860910445,-0.297553087,-0.454323762,0.8352487125
2026-08-09 07:57:06+00:00,2891.5396637971,-2882.8573097452,-5473.0361091641,3.0929296902,-5.3657041592,4.465392521,-0.0886224395,-0.302204305,-0.453850905,0.8335694195
2026-08-09 07:57:16+00:00,2922.287926048,-2936.333458695,-5428.0404653692,3.0566479528,-5.3293885197,4.5336160414,-0.0911521355,-0.306821347,-0.453364453,0.8318729605
2026-08-09 07:57:26+00:00,2952.6714427524,-2989.4431057735,-5382.3653829851,3.0199813072,-5.2924042815,4.6012783647,-0.09368617,-0.311501975,-0.452817597,0.8301479655
2026-08-09 07:57:36+00:00,2982.686378022,-3042.179577301,-5336.0165272648,2.9829342471,-5.2547559274,4.6683709322,-0.0962353895,-0.3161523135,-0.452278787,0.8283902245
